features_idx,not_features_idx,tracks,artists,Score,track_artist,song_writer
551,9323,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9324,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9325,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9326,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9327,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9328,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9329,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9330,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9331,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
563,9497,1.0,1.0,2.0,Acudreaming_Sensations Fix,Acudreaming_Sensations' Fix
590,10030,1.0,1.0,2.0,Keep Fishin'_Weezer,Keep Fishin_Weezer
591,10039,1.0,1.0,2.0,Good Ol' Days_The Script,Good Ol’ Days_The Script
594,10131,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10132,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10133,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10134,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10135,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10136,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10137,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
