features_idx,not_features_idx,tracks,artists,Score,artist_track,writer_song
594,10136,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10137,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10138,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10139,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10140,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10141,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10142,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10143,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10144,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10145,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10146,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10147,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10148,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
598,10479,1.0,1.0,2.0,Las Ketchup_The Ketchup Song (aserejé) - Spanglish Version,Las Ketchup_The Ketchup Song (asereje) - Spanglish Version
598,10480,1.0,1.0,2.0,Las Ketchup_The Ketchup Song (aserejé) - Spanglish Version,Las Ketchup_The Ketchup Song (asereje) - Spanglish Version
599,10770,1.0,1.0,2.0,Hollywood Principle_Breathing Underwater - Ether Remix,Hollywood Principle_Breathing Underwater (ether Remix)
599,10771,1.0,1.0,2.0,Hollywood Principle_Breathing Underwater - Ether Remix,Hollywood Principle_Breathing Underwater (ether Remix)
599,10772,1.0,1.0,2.0,Hollywood Principle_Breathing Underwater - Ether Remix,Hollywood Principle_Breathing Underwater (ether Remix)
599,10773,1.0,1.0,2.0,Hollywood Principle_Breathing Underwater - Ether Remix,Hollywood Principle_Breathing Underwater (ether Remix)
599,10774,1.0,1.0,2.0,Hollywood Principle_Breathing Underwater - Ether Remix,Hollywood Principle_Breathing Underwater (ether Remix)
599,10775,1.0,1.0,2.0,Hollywood Principle_Breathing Underwater - Ether Remix,Hollywood Principle_Breathing Underwater (ether Remix)
604,11119,1.0,1.0,2.0,Axel Flóvent_Dancers,Axel Flovent_Dancers
604,11120,1.0,1.0,2.0,Axel Flóvent_Dancers,Axel Flovent_Dancers
609,11153,1.0,1.0,2.0,Muse_Take A Bow - Live From Wembley Stadium,Muse_[take A Bow - Live From Wembley Stadium
617,11204,1.0,1.0,2.0,Mojo Juju & The Snake-oil Merchants_Scat Song,Mojo Juju & The Snake Oil Merchants_Scat Song
620,11299,1.0,1.0,2.0,Nujabes_Spiritual State (feat. Uyama Hiroto),Nujabes_Spiritual State (feat. Usama Hiroto)
620,11300,1.0,1.0,2.0,Nujabes_Spiritual State (feat. Uyama Hiroto),Nujabes_Spiritual State (feat. Usama Hiroto)
625,11448,1.0,1.0,2.0,Birds Of Tokyo_If This Ship Sinks In (i Give In),Birds Of Tokyo_If This Ship Sinks (i Give In)
625,11449,1.0,1.0,2.0,Birds Of Tokyo_If This Ship Sinks In (i Give In),Birds Of Tokyo_If This Ship Sinks (i Give In)
627,11480,1.0,1.0,2.0,Speaker Of The House_Awake Asleep,"Speaker Of The House_Awake, Asleep"
627,11481,1.0,1.0,2.0,Speaker Of The House_Awake Asleep,"Speaker Of The House_Awake, Asleep"
